,Status of existing checking account,Duration in months,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Credit risk,Number of Accounts
142,less_than_0_dm,27,existing_credits_paid_back_till_now,radio_television,3416,less_than_100_dm,1_4_years,3,male_single,none,2,car_or_other,27,none,own,1,management_self_employed_highly_qualified,1,none,yes,0,1
143,less_than_0_dm,18,existing_credits_paid_back_till_now,furniture_equipment,2462,less_than_100_dm,1_4_years,2,male_single,none,2,car_or_other,22,none,own,1,skilled_employee,1,none,yes,1,2
144,no_checking_account,21,critical_account,furniture_equipment,2288,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,4,savings_agreement_life_insurance,23,none,own,1,skilled_employee,1,yes,yes,0,1
145,0_to_200_dm,48,all_credits_paid_back,business,3566,100_to_500_dm,4_7_years,4,male_single,none,2,car_or_other,30,none,own,1,skilled_employee,1,none,yes,0,1
146,less_than_0_dm,6,critical_account,car_new,860,less_than_100_dm,7_more_years,1,female_divorced_separated_married,none,4,unknown_or_no_property,39,none,own,2,skilled_employee,1,yes,yes,0,1
147,no_checking_account,12,critical_account,car_new,682,100_to_500_dm,4_7_years,4,female_divorced_separated_married,none,3,car_or_other,51,none,own,2,skilled_employee,1,yes,yes,0,1
148,less_than_0_dm,36,critical_account,furniture_equipment,5371,less_than_100_dm,1_4_years,3,male_single,guarantor,2,savings_agreement_life_insurance,28,none,own,2,skilled_employee,1,none,yes,0,1
149,no_checking_account,18,critical_account,radio_television,1582,greater_than_1000_dm,7_more_years,4,male_single,none,4,car_or_other,46,none,own,2,skilled_employee,1,none,yes,0,1
150,no_checking_account,6,existing_credits_paid_back_till_now,radio_television,1346,100_to_500_dm,7_more_years,2,male_single,none,4,unknown_or_no_property,42,bank,for_free,1,skilled_employee,2,yes,yes,0,1
151,no_checking_account,10,existing_credits_paid_back_till_now,radio_television,1924,less_than_100_dm,1_4_years,1,male_single,none,4,savings_agreement_life_insurance,38,none,own,1,skilled_employee,1,yes,no,0,1
152,greater_than_200_dm,36,existing_credits_paid_back_till_now,radio_television,5848,less_than_100_dm,1_4_years,4,male_single,none,1,car_or_other,24,none,own,1,skilled_employee,1,none,yes,0,1
153,0_to_200_dm,24,critical_account,car_used,7758,greater_than_1000_dm,7_more_years,2,female_divorced_separated_married,none,4,unknown_or_no_property,29,none,rent,1,skilled_employee,1,none,yes,0,1
154,0_to_200_dm,24,delay_in_past,business,6967,100_to_500_dm,4_7_years,4,male_single,none,4,car_or_other,36,none,rent,1,management_self_employed_highly_qualified,1,yes,yes,0,1
155,less_than_0_dm,12,existing_credits_paid_back_till_now,furniture_equipment,1282,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,4,car_or_other,20,none,rent,1,skilled_employee,1,none,yes,1,2
156,less_than_0_dm,9,critical_account,repairs,1288,100_to_500_dm,7_more_years,3,male_single,guarantor,4,real_estate,48,none,own,2,skilled_employee,2,none,no,0,1
157,less_than_0_dm,12,all_credits_paid_back,retraining,339,less_than_100_dm,7_more_years,4,male_married_widowed,none,1,car_or_other,45,bank,own,1,unskilled_resident,1,none,yes,0,1
158,0_to_200_dm,24,existing_credits_paid_back_till_now,car_new,3512,100_to_500_dm,4_7_years,2,male_single,none,3,car_or_other,38,bank,own,2,skilled_employee,1,yes,yes,0,1
159,no_checking_account,6,critical_account,radio_television,1898,unknown_or_no_savings_account,1_4_years,1,male_single,none,2,real_estate,34,none,own,2,unskilled_resident,2,none,yes,0,1
160,no_checking_account,24,critical_account,radio_television,2872,100_to_500_dm,7_more_years,3,male_single,none,4,real_estate,36,none,own,1,skilled_employee,2,yes,yes,0,1
161,no_checking_account,18,critical_account,car_new,1055,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,1,savings_agreement_life_insurance,30,none,own,2,skilled_employee,1,none,yes,0,1
162,no_checking_account,15,existing_credits_paid_back_till_now,domestic_appliances,1262,500_to_1000_dm,4_7_years,4,male_single,none,3,savings_agreement_life_insurance,36,none,own,2,skilled_employee,1,yes,yes,0,1
163,0_to_200_dm,10,existing_credits_paid_back_till_now,car_new,7308,less_than_100_dm,unemployed,2,male_single,none,4,unknown_or_no_property,70,bank,for_free,1,management_self_employed_highly_qualified,1,yes,yes,0,1
164,no_checking_account,36,existing_credits_paid_back_till_now,car_new,909,500_to_1000_dm,7_more_years,4,male_single,none,4,savings_agreement_life_insurance,36,none,own,1,skilled_employee,1,none,yes,0,1
165,no_checking_account,6,existing_credits_paid_back_till_now,furniture_equipment,2978,500_to_1000_dm,1_4_years,1,male_single,none,2,car_or_other,32,none,own,1,skilled_employee,1,yes,yes,0,1
166,less_than_0_dm,18,existing_credits_paid_back_till_now,furniture_equipment,1131,less_than_100_dm,unemployed,4,female_divorced_separated_married,none,2,car_or_other,33,none,own,1,skilled_employee,1,none,yes,1,2
167,0_to_200_dm,11,existing_credits_paid_back_till_now,furniture_equipment,1577,greater_than_1000_dm,0_1_year,4,female_divorced_separated_married,none,1,real_estate,20,none,own,1,skilled_employee,1,none,yes,0,1
168,no_checking_account,24,existing_credits_paid_back_till_now,furniture_equipment,3972,less_than_100_dm,4_7_years,2,female_divorced_separated_married,none,4,savings_agreement_life_insurance,25,none,rent,1,skilled_employee,1,yes,yes,0,1
169,0_to_200_dm,24,critical_account,business,1935,less_than_100_dm,7_more_years,4,male_divorced_separated,none,4,real_estate,31,none,own,2,skilled_employee,1,yes,yes,1,2
170,less_than_0_dm,15,no_credits_taken,car_new,950,less_than_100_dm,7_more_years,4,male_single,none,3,car_or_other,33,none,rent,2,skilled_employee,2,none,yes,1,2
171,no_checking_account,12,existing_credits_paid_back_till_now,furniture_equipment,763,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,1,real_estate,26,none,own,1,skilled_employee,1,yes,yes,0,1
172,0_to_200_dm,24,delay_in_past,furniture_equipment,2064,less_than_100_dm,unemployed,3,female_divorced_separated_married,none,2,savings_agreement_life_insurance,34,none,own,1,management_self_employed_highly_qualified,1,yes,yes,1,2
173,0_to_200_dm,8,existing_credits_paid_back_till_now,radio_television,1414,less_than_100_dm,1_4_years,4,male_single,guarantor,2,real_estate,33,none,own,1,skilled_employee,1,none,no,0,1
174,less_than_0_dm,21,delay_in_past,education,3414,less_than_100_dm,0_1_year,2,male_single,none,1,savings_agreement_life_insurance,26,none,own,2,skilled_employee,1,none,yes,1,2
175,no_checking_account,30,all_credits_paid_back,car_used,7485,unknown_or_no_savings_account,unemployed,4,female_divorced_separated_married,none,1,real_estate,53,bank,own,1,management_self_employed_highly_qualified,1,yes,yes,1,2
176,less_than_0_dm,12,existing_credits_paid_back_till_now,furniture_equipment,2577,less_than_100_dm,1_4_years,2,male_divorced_separated,none,1,car_or_other,42,none,own,1,skilled_employee,1,none,yes,0,1
177,less_than_0_dm,6,critical_account,radio_television,338,500_to_1000_dm,7_more_years,4,male_single,none,4,car_or_other,52,none,own,2,skilled_employee,1,none,yes,0,1
178,no_checking_account,12,existing_credits_paid_back_till_now,radio_television,1963,less_than_100_dm,4_7_years,4,male_single,none,2,car_or_other,31,none,rent,2,management_self_employed_highly_qualified,2,yes,yes,0,1
179,less_than_0_dm,21,critical_account,car_new,571,less_than_100_dm,7_more_years,4,male_single,none,4,real_estate,65,none,own,2,skilled_employee,1,none,yes,0,1
180,no_checking_account,36,delay_in_past,business,9572,less_than_100_dm,0_1_year,1,male_divorced_separated,none,1,car_or_other,28,none,own,2,skilled_employee,1,none,yes,1,2
181,0_to_200_dm,36,delay_in_past,business,4455,less_than_100_dm,1_4_years,2,male_divorced_separated,none,2,real_estate,30,stores,own,2,management_self_employed_highly_qualified,1,yes,yes,1,2
182,less_than_0_dm,21,all_credits_paid_back,car_new,1647,unknown_or_no_savings_account,1_4_years,4,male_single,none,2,savings_agreement_life_insurance,40,none,own,2,unskilled_resident,2,none,yes,1,2
183,no_checking_account,24,critical_account,furniture_equipment,3777,greater_than_1000_dm,1_4_years,4,male_single,none,4,real_estate,50,none,own,1,skilled_employee,1,yes,yes,0,1
184,0_to_200_dm,18,critical_account,car_new,884,less_than_100_dm,7_more_years,4,male_single,none,4,car_or_other,36,bank,own,1,skilled_employee,2,yes,yes,1,2
185,no_checking_account,15,critical_account,radio_television,1360,less_than_100_dm,1_4_years,4,male_single,none,2,savings_agreement_life_insurance,31,none,own,2,skilled_employee,1,none,yes,0,1
186,0_to_200_dm,9,all_credits_paid_back,car_used,5129,less_than_100_dm,7_more_years,2,female_divorced_separated_married,none,4,unknown_or_no_property,74,bank,for_free,1,management_self_employed_highly_qualified,2,yes,yes,1,2
187,0_to_200_dm,16,critical_account,car_new,1175,less_than_100_dm,unemployed,2,male_single,none,3,car_or_other,68,none,for_free,3,unemployed_unskilled_non_resident,1,yes,yes,0,1
188,less_than_0_dm,12,existing_credits_paid_back_till_now,radio_television,674,100_to_500_dm,4_7_years,4,male_married_widowed,none,1,savings_agreement_life_insurance,20,none,own,1,skilled_employee,1,none,yes,1,2
189,0_to_200_dm,18,no_credits_taken,furniture_equipment,3244,less_than_100_dm,1_4_years,1,female_divorced_separated_married,none,4,car_or_other,33,bank,own,2,skilled_employee,1,yes,yes,0,1
190,no_checking_account,24,existing_credits_paid_back_till_now,business,4591,greater_than_1000_dm,1_4_years,2,male_single,none,3,savings_agreement_life_insurance,54,none,own,3,management_self_employed_highly_qualified,1,yes,yes,1,2
191,0_to_200_dm,48,no_credits_taken,business,3844,100_to_500_dm,4_7_years,4,male_single,none,4,unknown_or_no_property,34,none,for_free,1,unskilled_resident,2,none,yes,1,2
192,0_to_200_dm,27,existing_credits_paid_back_till_now,business,3915,less_than_100_dm,1_4_years,4,male_single,none,2,car_or_other,36,none,own,1,skilled_employee,2,yes,yes,1,2
193,no_checking_account,6,existing_credits_paid_back_till_now,radio_television,2108,less_than_100_dm,4_7_years,2,male_married_widowed,none,2,real_estate,29,none,rent,1,skilled_employee,1,none,yes,0,1
194,0_to_200_dm,45,existing_credits_paid_back_till_now,radio_television,3031,100_to_500_dm,1_4_years,4,male_single,guarantor,4,savings_agreement_life_insurance,21,none,rent,1,skilled_employee,1,none,yes,1,2
195,0_to_200_dm,9,critical_account,education,1501,less_than_100_dm,7_more_years,2,female_divorced_separated_married,none,3,car_or_other,34,none,own,2,management_self_employed_highly_qualified,1,yes,yes,1,2
196,no_checking_account,6,critical_account,radio_television,1382,less_than_100_dm,1_4_years,1,female_divorced_separated_married,none,1,car_or_other,28,none,own,2,skilled_employee,1,yes,yes,0,1
197,0_to_200_dm,12,existing_credits_paid_back_till_now,furniture_equipment,951,100_to_500_dm,0_1_year,4,female_divorced_separated_married,none,4,car_or_other,27,bank,rent,4,skilled_employee,1,none,yes,1,2
198,0_to_200_dm,24,existing_credits_paid_back_till_now,car_used,2760,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,unknown_or_no_property,36,bank,for_free,1,skilled_employee,1,yes,yes,0,1
199,0_to_200_dm,18,delay_in_past,furniture_equipment,4297,less_than_100_dm,7_more_years,4,male_divorced_separated,none,3,unknown_or_no_property,40,none,own,1,management_self_employed_highly_qualified,1,yes,yes,1,2
200,no_checking_account,9,critical_account,education,936,500_to_1000_dm,7_more_years,4,male_single,none,2,car_or_other,52,none,own,2,skilled_employee,1,yes,yes,0,1
201,less_than_0_dm,12,existing_credits_paid_back_till_now,car_new,1168,less_than_100_dm,1_4_years,4,male_married_widowed,none,3,real_estate,27,none,own,1,unskilled_resident,1,none,yes,0,1
202,no_checking_account,27,delay_in_past,business,5117,less_than_100_dm,4_7_years,3,male_single,none,4,car_or_other,26,none,own,2,skilled_employee,1,none,yes,0,1
203,less_than_0_dm,12,existing_credits_paid_back_till_now,retraining,902,less_than_100_dm,4_7_years,4,male_married_widowed,none,4,savings_agreement_life_insurance,21,none,rent,1,skilled_employee,1,none,yes,1,2
204,no_checking_account,12,critical_account,car_new,1495,less_than_100_dm,7_more_years,4,male_single,none,1,real_estate,38,none,own,2,unskilled_resident,2,none,yes,0,1
205,less_than_0_dm,30,critical_account,car_used,10623,less_than_100_dm,7_more_years,3,male_single,none,4,unknown_or_no_property,38,none,for_free,3,management_self_employed_highly_qualified,2,yes,yes,0,1
206,no_checking_account,12,critical_account,furniture_equipment,1935,less_than_100_dm,7_more_years,4,male_single,none,4,real_estate,43,none,own,3,skilled_employee,1,yes,yes,0,1
207,0_to_200_dm,12,critical_account,domestic_appliances,1424,less_than_100_dm,4_7_years,4,male_single,none,3,savings_agreement_life_insurance,26,none,own,1,skilled_employee,1,none,yes,0,1
208,less_than_0_dm,24,existing_credits_paid_back_till_now,business,6568,less_than_100_dm,1_4_years,2,male_married_widowed,none,2,car_or_other,21,stores,own,1,unskilled_resident,1,none,yes,0,1
209,no_checking_account,12,existing_credits_paid_back_till_now,car_used,1413,greater_than_1000_dm,4_7_years,3,male_single,none,2,savings_agreement_life_insurance,55,none,own,1,skilled_employee,1,none,no,0,1
210,no_checking_account,9,critical_account,radio_television,3074,unknown_or_no_savings_account,1_4_years,1,male_single,none,2,real_estate,33,none,own,2,skilled_employee,2,none,yes,0,1
211,no_checking_account,36,existing_credits_paid_back_till_now,radio_television,3835,unknown_or_no_savings_account,7_more_years,2,female_divorced_separated_married,none,4,real_estate,45,none,own,1,unskilled_resident,1,yes,yes,0,1
212,less_than_0_dm,27,no_credits_taken,business,5293,less_than_100_dm,unemployed,2,male_single,none,4,savings_agreement_life_insurance,50,stores,own,2,skilled_employee,1,yes,yes,1,2
213,greater_than_200_dm,30,delay_in_past,business,1908,less_than_100_dm,7_more_years,4,male_single,none,4,real_estate,66,none,own,1,management_self_employed_highly_qualified,1,yes,yes,1,2
214,no_checking_account,36,critical_account,radio_television,3342,unknown_or_no_savings_account,7_more_years,4,male_single,none,2,car_or_other,51,none,own,1,skilled_employee,1,yes,yes,0,1
215,0_to_200_dm,6,critical_account,retraining,932,unknown_or_no_savings_account,4_7_years,1,female_divorced_separated_married,none,3,savings_agreement_life_insurance,39,none,own,2,unskilled_resident,1,none,yes,0,1
216,less_than_0_dm,18,no_credits_taken,business,3104,less_than_100_dm,4_7_years,3,male_single,none,1,savings_agreement_life_insurance,31,bank,own,1,skilled_employee,1,yes,yes,0,1
217,greater_than_200_dm,36,existing_credits_paid_back_till_now,radio_television,3913,less_than_100_dm,1_4_years,2,male_single,none,2,real_estate,23,none,own,1,skilled_employee,1,yes,yes,0,1
218,less_than_0_dm,24,existing_credits_paid_back_till_now,furniture_equipment,3021,less_than_100_dm,1_4_years,2,male_divorced_separated,none,2,real_estate,24,none,rent,1,unskilled_resident,1,none,yes,0,1
219,no_checking_account,10,existing_credits_paid_back_till_now,car_new,1364,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,4,car_or_other,64,none,own,1,skilled_employee,1,yes,yes,0,1
220,0_to_200_dm,12,existing_credits_paid_back_till_now,radio_television,625,less_than_100_dm,0_1_year,4,male_married_widowed,guarantor,1,real_estate,26,bank,own,1,unskilled_resident,1,none,yes,0,1
221,less_than_0_dm,12,existing_credits_paid_back_till_now,education,1200,unknown_or_no_savings_account,1_4_years,4,female_divorced_separated_married,none,4,savings_agreement_life_insurance,23,bank,rent,1,skilled_employee,1,yes,yes,0,1
222,no_checking_account,12,existing_credits_paid_back_till_now,radio_television,707,less_than_100_dm,1_4_years,4,male_single,none,2,real_estate,30,bank,own,2,skilled_employee,1,none,yes,0,1
223,no_checking_account,24,delay_in_past,business,2978,unknown_or_no_savings_account,1_4_years,4,male_single,none,4,real_estate,32,none,own,2,skilled_employee,2,yes,yes,0,1
224,no_checking_account,15,existing_credits_paid_back_till_now,car_used,4657,less_than_100_dm,1_4_years,3,male_single,none,2,car_or_other,30,none,own,1,skilled_employee,1,yes,yes,0,1
225,no_checking_account,36,no_credits_taken,repairs,2613,less_than_100_dm,1_4_years,4,male_single,none,2,car_or_other,27,none,own,2,skilled_employee,1,none,yes,0,1
226,0_to_200_dm,48,existing_credits_paid_back_till_now,radio_television,10961,greater_than_1000_dm,4_7_years,1,male_single,co_applicant,2,unknown_or_no_property,27,bank,own,2,skilled_employee,1,yes,yes,1,2
227,less_than_0_dm,12,existing_credits_paid_back_till_now,furniture_equipment,7865,less_than_100_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,53,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,1,2
